Auction ID,APN,Legal Description,Property Address ,City,Zip Code,Minimum Bid,Auction Ends Apr 26th (ET)
994919,001-222-04,T12N R36E S33 B.9 L.3 SOUTH GABBS .15AC  ,410 D AVE ,GABBS,89409," $ 1,963.00 ",  12:00 PM
994920,001-223-04,T12N R36E S33 B.10 L.2 SOUTH GABBS .16AC  ,310 C AVE ,GABBS,89409, $ 951.00 ,  12:00 PM
994921,001-285-08,"T12N R36E S27 B.H L.9 SA114 NORTH GABBS .15AC   6,703 SF +/- ",114 MAIN ST ,GABBS,89409," $ 1,666.00 ",  12:00 PM
994922,006-331-06,T10N R43E S28  F#504187 L.6 .14ac   ,,,89045, $ 740.00 ,  12:00 PM
994923,006-331-13,T10N R43E S28  F#504185 L.13  .14ac    ,F#504185 L.13 .14AC ,HADLEY,," $ 1,377.00 ",  12:00 PM
994924,006-331-14,T10N R43E S28  F#504181 L.14  .14ac  ,F#504181 L.14 .14AC  ,HADLEY,89045, $ 939.00 ,  12:00 PM
994925,006-331-16,T10N R43E S28 F#504182 L.16    .14ac  ,F#504182 L.16 .14AC  ,HADLEY,," $ 2,149.00 ",  12:00 PM
994926,006-331-17,T10N R43E S28  F#504183 L.17 .14ac ,F#504183 L.17 .14AC  ,HADLEY,89045, $ 852.00 ,  12:00 PM
994927,006-331-19,T10N R43E S28  F#504188 L.19  .14ac  ,F#504188 L.19 .14AC ,HADLEY,," $ 1,162.00 ",  12:00 PM
994928,006-331-21,T10N R43E S28  F#504188 L.21  .14ac ,F#504188 L.21 .14AC  ,HADLEY,," $ 2,117.00 ",  12:00 PM
