Auction ID,APN,Legal Description,Property Address ,City,Zip Code,Minimum Bid,Auction Ends Apr 26th (ET),Full Address,location,point,latitude,longitude,altitude,Size,Hover_info
994919,001-222-04,T12N R36E S33 B.9 L.3 SOUTH GABBS .15AC  ,410 D AVE ,GABBS,89409.0," $ 1,963.00 ",  12:00 PM,"410 D AVE , GABBS, 89409.0","410 D Ave, Gabbs, NV 89409, USA","(38.859375, -117.9304609, 0.0)",38.859375,-117.9304609,0.0,.15,".15 -- AC, BID:  $ 1,963.00 "
994920,001-223-04,T12N R36E S33 B.10 L.2 SOUTH GABBS .16AC  ,310 C AVE ,GABBS,89409.0, $ 951.00 ,  12:00 PM,"310 C AVE , GABBS, 89409.0","310 C Ave, Gabbs, NV 89409, USA","(38.8592073, -117.9295434, 0.0)",38.8592073,-117.9295434,0.0,.16,".16 -- AC, BID:  $ 951.00 "
994921,001-285-08,"T12N R36E S27 B.H L.9 SA114 NORTH GABBS .15AC   6,703 SF +/- ",114 MAIN ST ,GABBS,89409.0," $ 1,666.00 ",  12:00 PM,"114 MAIN ST , GABBS, 89409.0","Gabbs, NV, USA","(38.8690562, -117.9228819, 0.0)",38.8690562,-117.9228819,0.0,.15,".15 -- AC, BID:  $ 1,666.00 "
994922,006-331-06,T10N R43E S28  F#504187 L.6 .14ac   ,,,89045.0, $ 740.00 ,  12:00 PM,89045.0,"Round Mountain, NV 89045, USA","(38.9203763, -116.8910342, 0.0)",38.9203763,-116.8910342,0.0,.14,".14 -- AC, BID:  $ 740.00 "
994929,008-181-06,"T2N R42E S2 F#65703 BEKO TRACT 2 ON ROS GOLDLINE & TONOPAH #3 LODES(THAT CERTAIN PARCEL OF LAND   
LYING WITHIN THE EXTERIOR BOUNDARIES OF TONOPAH#3 PATENTED LODE MINING CLAIM,U.S.    
MINERAL SURVEY#2079,PTNT #38875, IN THE TONOPAH MINING DISTRICT OF THE COUNTY OF NYE,  STATE OF NEVADA, DESCRIBED ON THAT CERTAIN  RECORD OF SURVEY APPEARING OF RECORD AS DOCUMENT NO.65703,IN THE OFFICE OF THE RECORDER           
OF NYE COUNTY, NEVADA, AS ""BEKO TRACT NO. 2"", AND MORE PARTICULARLY DESCRIBED AS FOLLOWS:BEGINNING 
AT COR.6 GOLDLINE 2092,THENCE S61 30'E, 298.37' TO THE TRUE POINT OF BEGINNING,THENCE S28 12'50""W,155' TO A POINT,    
THENCE S81 13'E, 162.07' TO A POINT, THENCE  N28 12'50""E, 100.32' TO A POINT, THENCE N61 30'W, 152.57' TO THE TRUE POINT OF BEGINNING) .42AC ",1222 TONOPAH AVE ,TONOPAH,89049.0," $ 1,810.00 ",  12:00 PM,"1222 TONOPAH AVE , TONOPAH, 89049.0","1222 Tonopah Ave, Tonopah, NV 89049, USA","(38.0599423, -117.2307405, 0.0)",38.0599423,-117.2307405,0.0,.42,".42 -- AC, BID:  $ 1,810.00 "
994930,008-351-03,T3N R42E S35&36 L.24 BELMONT ADDITION   (.280 ACRES),0 DESERT QUEEN RD ,TONOPAH,89049.0," $ 6,405.00 ",  12:00 PM,"0 DESERT QUEEN RD , TONOPAH, 89049.0","Desert Queen Rd, Tonopah, NV 89049, USA","(38.0691785, -117.2197701, 0.0)",38.0691785,-117.2197701,0.0,.280 ,".280  -- AC, BID:  $ 6,405.00 "
994931,010-394-05,T11N R43E S29 L.25 .71AC SHOSHONE ESTATES  ,175 PABLO RD ,ROUND MOUNTAIN,89045.0," $ 1,992.00 ",  12:00 PM,"175 PABLO RD , ROUND MOUNTAIN, 89045.0","175 W Pablo Rd, Round Mountain, NV 89045, USA","(38.7830889, -117.1662214, 0.0)",38.7830889,-117.1662214,0.0,.71,".71 -- AC, BID:  $ 1,992.00 "
994932,012-441-08,T8N R42E S4 F#232112 PARCEL 2  1.2 ACRES   ,5885 PEAVINE RD ,ROUND MOUNTAIN,89045.0," $ 1,758.00 ",  12:00 PM,"5885 PEAVINE RD , ROUND MOUNTAIN, 89045.0","Peavine Rd, Nevada, USA","(38.3766536, -117.3913663, 0.0)",38.3766536,-117.3913663,0.0,1.2 ,"1.2  -- AC, BID:  $ 1,758.00 "
994933,012-441-12,T8N R42E S4 F#232113 PARCEL 7  1.25 ACRES  ,5860 PEAVINE RD ,ROUND MOUNTAIN,89045.0," $ 4,334.00 ",  12:00 PM,"5860 PEAVINE RD , ROUND MOUNTAIN, 89045.0","Peavine Rd, Nevada, USA","(38.3766536, -117.3913663, 0.0)",38.3766536,-117.3913663,0.0,1.25 ,"1.25  -- AC, BID:  $ 4,334.00 "
994934,012-461-53,T10N R43E S4 F#245810 PARCEL 2A  4.48 ACRES   P#27790079                                    ,89 BROOKTREE CT ,ROUND MOUNTAIN,89045.0," $ 3,643.00 ",  12:00 PM,"89 BROOKTREE CT , ROUND MOUNTAIN, 89045.0","89 Brooktree Ln, Round Mountain, NV 89045, USA","(38.7492579, -117.1572069, 0.0)",38.7492579,-117.1572069,0.0,4.48 ,"4.48  -- AC, BID:  $ 3,643.00 "
